000126, SEQID 14526, CYCLE 022 4500, SIZE 3969536, GAMMA 0.000, GAIN 69, SHUTTER 81, LAT 24.52082333, LON 121.83689000, ALT 31.600, UTC 04:39:17.00
ERROR: Dropped frame : 1
000127, SEQID 14528, CYCLE 022 5500, SIZE 3933184, GAMMA 0.000, GAIN 68, SHUTTER 81, LAT 24.52082333, LON 121.83689000, ALT 31.600, UTC 04:39:17.00
ERROR: Dropped frame : 1
000128, SEQID 14530, CYCLE 022 6500, SIZE 3899392, GAMMA 0.000, GAIN 66, SHUTTER 81, LAT 24.52082333, LON 121.83689000, ALT 31.600, UTC 04:39:17.00
ERROR: Dropped frame : 1
000129, SEQID 14532, CYCLE 022 7500, SIZE 3884032, GAMMA 0.000, GAIN 64, SHUTTER 81, LAT 24.52082333, LON 121.83689000, ALT 31.600, UTC 04:39:17.00
000130, SEQID 14533, CYCLE 023 0000, SIZE 3883520, GAMMA 0.000, GAIN 64, SHUTTER 81, LAT 24.52082333, LON 121.83689000, ALT 31.600, UTC 04:39:17.00
ERROR: Dropped frame : 1
000131, SEQID 14535, CYCLE 023 1000, SIZE 3876352, GAMMA 0.000, GAIN 64, SHUTTER 81, LAT 24.52082333, LON 121.83689000, ALT 31.600, UTC 04:39:17.00
000132, SEQID 14536, CYCLE 023 1500, SIZE 3863552, GAMMA 0.000, GAIN 64, SHUTTER 81, LAT 24.52082333, LON 121.83689000, ALT 31.600, UTC 04:39:17.00
000133, SEQID 14537, CYCLE 023 2000, SIZE 3849728, GAMMA 0.000, GAIN 64, SHUTTER 81, LAT 24.52090167, LON 121.83690667, ALT 32.100, UTC 04:39:18.00
ERROR: Dropped frame : 1
000134, SEQID 14539, CYCLE 023 3000, SIZE 3810816, GAMMA 0.000, GAIN 64, SHUTTER 81, LAT 24.52090167, LON 121.83690667, ALT 32.100, UTC 04:39:18.00
ERROR: Dropped frame : 1
000135, SEQID 14541, CYCLE 023 4000, SIZE 3888640, GAMMA 0.000, GAIN 64, SHUTTER 81, LAT 24.52090167, LON 121.83690667, ALT 32.100, UTC 04:39:18.00
ERROR: Dropped frame : 1
000136, SEQID 14543, CYCLE 023 5000, SIZE 3843072, GAMMA 0.000, GAIN 64, SHUTTER 81, LAT 24.52090167, LON 121.83690667, ALT 32.100, UTC 04:39:18.00
ERROR: Dropped frame : 1
000137, SEQID 14545, CYCLE 023 6000, SIZE 3740160, GAMMA 0.000, GAIN 64, SHUTTER 81, LAT 24.52090167, LON 121.83690667, ALT 32.100, UTC 04:39:18.00
ERROR: Dropped frame : 3
000138, SEQID 14549, CYCLE 024 0000, SIZE 3915776, GAMMA 0.000, GAIN 64, SHUTTER 81, LAT 24.52090167, LON 121.83690667, ALT 32.100, UTC 04:39:18.00
ERROR: Dropped frame : 3
000139, SEQID 14553, CYCLE 024 2000, SIZE 3885056, GAMMA 0.000, GAIN 64, SHUTTER 81, LAT 24.52090167, LON 121.83690667, ALT 32.100, UTC 04:39:18.00
ERROR: Dropped frame : 1
000140, SEQID 14555, CYCLE 024 3000, SIZE 3928576, GAMMA 0.000, GAIN 64, SHUTTER 81, LAT 24.52090167, LON 121.83690667, ALT 32.100, UTC 04:39:18.00
ERROR: Dropped frame : 3
